song,performer,instance,chart_date,time_on_chart,song_length_ms,song_length_mins
On The Way Down,Ryan Cabrera,1.0,2005-01-01,27,213280,3.554666666666667
Wonderful,Ja Rule,1.0,2005-01-01,20,270506,4.5084333333333335
Some Cut,Trillville,1.0,2005-01-01,25,283386,4.7231
Some Beach,Blake Shelton,1.0,2005-01-01,20,204826,3.4137666666666666
"I Smoke, I Drank",Body Head Bangerz,1.0,2005-01-01,15,219768,3.6628
Disco Inferno,50 Cent,1.0,2005-01-01,29,214226,3.5704333333333333
So Cold,Breaking Benjamin,1.0,2005-01-01,20,273440,4.557333333333333
Somebody Told Me,The Killers,1.0,2005-01-01,20,197200,3.2866666666666666
Boulevard Of Broken Dreams,Green Day,1.0,2005-01-01,36,262333,4.372216666666667
My Happy Ending,Avril Lavigne,1.0,2005-01-01,25,242413,4.040216666666667
Daughters,John Mayer,1.0,2005-01-01,23,237906,3.9651
Since U Been Gone,Kelly Clarkson,1.0,2005-01-01,46,188960,3.1493333333333333
In A Real Love,Phil Vassar,1.0,2005-01-01,20,214826,3.580433333333333
Dare You To Move,Switchfoot,1.0,2005-01-01,20,247893,4.13155
Dangerously In Love,Beyonce,1.0,2005-01-01,20,293133,4.88555
American Idiot,Green Day,1.0,2005-01-01,20,176346,2.9391
Perdidos,Monchy,1.0,2005-01-01,7,269600,4.493333333333333
Party For Two,Shania Twain With Billy Currington Or Mark McGrath,1.0,2005-01-01,14,199200,3.32
I Don't Want To Be,Gavin DeGraw,1.0,2005-01-01,28,217760,3.6293333333333333
Drop It Like It's Hot,Snoop Dogg,1.0,2005-01-01,30,266066,4.434433333333334
Holy Water,Big,1.0,2005-01-01,7,256813,4.280216666666667
You're My Everything,Anita Baker,1.0,2005-01-01,20,303000,5.05
You're My Better Half,Keith Urban,1.0,2005-01-01,20,239400,3.99
Over And Over,Nelly,1.0,2005-01-01,24,253933,4.232216666666667
Nothin 'Bout Love Makes Sense,LeAnn Rimes,1.0,2005-01-01,19,177306,2.9551
How Am I Doin',Dierks Bentley,1.0,2005-01-01,16,228437,3.8072833333333334
Nolia Clap,Juvenile,1.0,2005-01-01,20,270333,4.50555
Nobody's Home,Avril Lavigne,1.0,2005-01-01,17,212413,3.540216666666667
The Woman With You,Kenny Chesney,1.0,2005-01-01,17,270000,4.5
How We Do,The Game,1.0,2005-01-01,28,235533,3.92555
New York,Ja Rule,1.0,2005-01-01,14,258213,4.30355
Hush,LL Cool J,1.0,2005-01-01,18,214560,3.576
I Changed My Mind,Keyshia Cole,1.0,2005-01-01,11,198680,3.3113333333333332
Oye Mi Canto,N.O.R.E.,1.0,2005-01-01,22,240973,4.016216666666667
Shorty Wanna Ride,Young Buck,1.0,2005-01-01,19,261320,4.355333333333333
You're The One,Guerilla Black,1.0,2005-01-01,11,218440,3.6406666666666667
My Boo,Usher And Alicia Keys,1.0,2005-01-01,26,223000,3.716666666666667
Just Lose It,Eminem,1.0,2005-01-01,19,248680,4.144666666666667
Back When,Tim McGraw,1.0,2005-01-01,19,269893,4.498216666666667
Vertigo,U2,1.0,2005-01-01,20,193520,3.2253333333333334
Monday Morning Church,Alan Jackson,1.0,2005-01-01,16,204466,3.407766666666667
Charlene,Anthony Hamilton,1.0,2005-01-01,22,246773,4.1128833333333334
Rich Girl,Gwen Stefani,1.0,2005-01-01,27,236213,3.9368833333333333
Balla Baby,Chingy,1.0,2005-01-01,18,215906,3.5984333333333334
Beautiful Soul,Jesse McCartney,1.0,2005-01-01,20,214226,3.5704333333333333
Bring Em Out,T.I.,1.0,2005-01-01,21,216706,3.6117666666666666
Real Big,Mannie Fresh,3.0,2005-01-01,12,228826,3.8137666666666665
Mockingbird,Eminem,1.0,2005-01-01,20,250760,4.179333333333333
U Make Me Wanna,Jadakiss,1.0,2005-01-01,13,293800,4.8966666666666665
Lose My Breath,Destiny's Child,1.0,2005-01-01,23,242013,4.03355
Broken,Seether,1.0,2005-01-01,21,258333,4.30555
Lovers And Friends,Lil Jon,1.0,2005-01-01,22,260600,4.343333333333334
Caught Up,Usher,1.0,2005-01-01,27,224640,3.744
Vitamin R (Leading Us Along),Chevelle,1.0,2005-01-01,12,223173,3.71955
Let's Go,Trick Daddy,1.0,2005-01-01,22,222200,3.703333333333333
Thugs Get Lonely Too,2Pac,2.0,2005-01-01,4,288080,4.801333333333333
Karma,Alicia Keys,1.0,2005-01-01,29,256000,4.266666666666667
Karma,Lloyd Banks,1.0,2005-01-01,20,278533,4.642216666666667
Mud On The Tires,Brad Paisley,1.0,2005-01-01,20,208266,3.4711
Knuck If You Buck,Crime Mob,1.0,2005-01-01,20,205120,3.4186666666666667
Mr. Mom,Lonestar,1.0,2005-01-01,20,208693,3.4782166666666665
Lady,Lenny Kravitz,1.0,2005-01-01,20,255573,4.25955
"Awful, Beautiful Life",Darryl Worley,1.0,2005-01-01,20,232800,3.88
Breakaway,Kelly Clarkson,1.0,2005-01-01,46,237000,3.95
Breathe,Fabolous,1.0,2005-01-01,20,268960,4.482666666666667
Lean Back,Terror Squad,1.0,2005-01-01,31,247426,4.123766666666667
Come Home Soon,SHeDAISY,1.0,2005-01-01,7,242053,4.034216666666667
Let Me Love You,Mario,1.0,2005-01-01,36,249093,4.15155
Baby Girl,Sugarland,1.0,2005-01-01,20,252266,4.204433333333333
Baby It's You,JoJo,1.0,2005-01-01,18,188293,3.1382166666666667
Cold,Crossfade,1.0,2005-01-01,23,194226,3.2371
She Will Be Loved,Maroon 5,1.0,2005-01-01,41,259453,4.324216666666667
A Rose By Any Other Name,Teena Marie,2.0,2005-01-01,2,327160,5.4526666666666666
Soldier,Destiny's Child,1.0,2005-01-01,21,325573,5.426216666666667
One Thing,Finger Eleven,1.0,2005-01-01,29,279573,4.65955
1985,Bowling For Soup,1.0,2005-01-01,20,193000,3.216666666666667
That's What It's All About,Brooks,1.0,2005-01-01,20,239853,3.99755
Bless The Broken Road,Rascal Flatts,1.0,2005-01-01,20,226680,3.778
Okay,Nivea,1.0,2005-01-01,21,283360,4.722666666666667
Gasolina,Daddy Yankee,1.0,2005-01-01,20,192600,3.21
Nothing On But The Radio,Gary Allan,1.0,2005-01-01,20,212026,3.5337666666666667
Only U,Ashanti,1.0,2005-01-01,19,186306,3.1051
Welcome To My Life,Simple Plan,1.0,2005-01-01,18,206773,3.4462166666666665
Get Back,Ludacris,1.0,2005-01-01,20,270746,4.512433333333333
Encore,Eminem,1.0,2005-01-01,15,348400,5.806666666666667
Goodies,Ciara,1.0,2005-01-01,38,223000,3.716666666666667
What U Gon' Do,Lil Jon,1.0,2005-01-01,19,320186,5.336433333333333
Fall To Pieces,Velvet Revolver,1.0,2005-01-01,20,271240,4.520666666666667
Tempted To Touch,Rupee,1.0,2005-01-01,20,212586,3.5431
Take Me Home,Terror Squad,1.0,2005-01-01,16,210840,3.514
Gotta Go Solo,Patti LaBelle,1.0,2005-01-01,9,241680,4.028
Give A Little Bit,Goo Goo Dolls,1.0,2005-01-01,20,214400,3.5733333333333333
What You Waiting For?,Gwen Stefani,2.0,2005-01-01,20,221226,3.6871
Go D.J.,Lil Wayne,1.0,2005-01-01,20,225306,3.7551
When I Think About Cheatin',Gretchen Wilson,1.0,2005-01-01,11,249226,4.153766666666667
He Gets That From Me,Reba McEntire,1.0,2005-01-01,12,219933,3.66555
Numb/Encore,Jay-Z/Linkin Park,1.0,2005-01-01,20,205733,3.4288833333333333
True,Ryan Cabrera,1.0,2005-01-01,20,204173,3.4028833333333335
Getting Away With Murder,Papa Roach,1.0,2005-01-01,16,191372,3.1895333333333333
"1, 2 Step",Ciara,1.0,2005-01-01,39,203786,3.3964333333333334
Let's Get Blown,Snoop Dogg,1.0,2005-01-08,11,280680,4.678
Hold You Down,The Alchemist,1.0,2005-01-08,4,235000,3.9166666666666665
Sunday Morning,Maroon 5,1.0,2005-01-08,20,244880,4.081333333333333
Ordinary People,John Legend,1.0,2005-01-08,20,281466,4.6911
Ghetto,Akon,1.0,2005-01-08,5,235306,3.9217666666666666
I'll Be Around,Daryl Hall John Oates,2.0,2005-01-15,3,208506,3.4751
O,Omarion,1.0,2005-01-22,20,280706,4.678433333333333
U Don't Know Me,T.I.,1.0,2005-01-22,20,243506,4.058433333333333
Baby,Fabolous,1.0,2005-01-22,9,216653,3.6108833333333332
Truth Is,Fantasia,1.0,2005-01-22,20,236746,3.9457666666666666
Get Right,Jennifer Lopez,1.0,2005-01-22,17,225533,3.7588833333333334
Nothin' To Lose,Josh Gracin,1.0,2005-01-22,20,156893,2.6148833333333332
Sugar (Gimme Some),Trick Daddy,1.0,2005-01-22,26,245106,4.0851
Let Them Be Little,Billy Dean,1.0,2005-01-29,11,225653,3.760883333333333
Look What You've Done,Jet,1.0,2005-01-29,20,230893,3.8482166666666666
Like Toy Soldiers,Eminem,1.0,2005-01-29,11,296880,4.948
It's Like That,Mariah Carey,1.0,2005-01-29,20,203360,3.3893333333333335
I May Hate Myself In The Morning,Lee Ann Womack,1.0,2005-01-29,13,272866,4.547766666666667
Obsession (No Es Amor),Frankie J,1.0,2005-01-29,21,206000,3.433333333333333
N Dey Say,Nelly,1.0,2005-02-05,7,217080,3.618
Candy Shop,50 Cent,1.0,2005-02-05,23,209106,3.4851
Hope,Twista,1.0,2005-02-05,7,252000,4.2
Gone,Montgomery Gentry,1.0,2005-02-05,20,250040,4.167333333333334
That's What I Love About Sunday,Craig Morgan,1.0,2005-02-05,20,201493,3.358216666666667
Let Me Go,3 Doors Down,1.0,2005-02-05,31,243053,4.050883333333333
Little Sister,Queens Of The Stone Age,3.0,2005-02-12,9,174026,2.9004333333333334
1 Thing,Amerie,1.0,2005-02-12,20,238760,3.9793333333333334
I Just Wanna Live,Good Charlotte,1.0,2005-02-12,8,166053,2.76755
Somewhere Only We Know,Keane,1.0,2005-02-12,12,236160,3.936
Pain,Jimmy Eat World,1.0,2005-02-12,2,181306,3.0217666666666667
You And Me,Lifehouse,2.0,2005-02-12,62,195493,3.2582166666666668
Baby Mama,Fantasia,1.0,2005-02-12,12,255786,4.2631
La La,Ashlee Simpson,1.0,2005-02-12,5,221266,3.6877666666666666
Mr. Brightside,The Killers,1.0,2005-02-12,38,222973,3.7162166666666665
Scars,Papa Roach,1.0,2005-02-12,38,208186,3.4697666666666667
Goin' Crazy,Natalie,1.0,2005-02-12,20,294093,4.90155
Anything But Mine,Kenny Chesney,1.0,2005-02-12,20,324920,5.415333333333334
It's Getting Better All The Time,Brooks,1.0,2005-02-12,16,254706,4.2451
I'm Not Okay (I Promise),My Chemical Romance,1.0,2005-02-12,6,186480,3.108
Home,Three Days Grace,2.0,2005-02-12,4,260680,4.344666666666667
Collide,Howie Day,1.0,2005-02-12,32,249120,4.152
Hate It Or Love It,The Game,1.0,2005-02-12,23,206400,3.44
If Heaven,Andy Griggs,1.0,2005-02-12,16,210973,3.5162166666666668
Down And Out,Cam'Ron,1.0,2005-02-19,1,248626,4.143766666666667
Almost,Bowling For Soup,1.0,2005-02-19,20,206160,3.436
Landed,Ben Folds,1.0,2005-02-19,2,266773,4.4462166666666665
Trying To Find Atlantis,Jamie O'Neal,2.0,2005-02-19,4,208826,3.4804333333333335
Lonely No More,Rob Thomas,1.0,2005-02-19,34,226640,3.7773333333333334
Signs,Snoop Dogg,1.0,2005-02-19,14,236480,3.941333333333333
My Give A Damn's Busted,Jo Dee Messina,1.0,2005-02-19,20,198960,3.316
Wait (The Whisper Song),Ying Yang Twins,1.0,2005-02-26,22,179160,2.986
Jerk It Out,Caesars,2.0,2005-02-26,10,195666,3.2611
Baby I'm Back,Baby Bash,1.0,2005-02-26,25,219186,3.6531
We Will Become Silhouettes,The Postal Service,1.0,2005-02-26,1,300546,5.0091
Lonely,Akon,1.0,2005-02-26,20,235800,3.93
What's A Guy Gotta Do,Joe Nichols,2.0,2005-02-26,15,140933,2.348883333333333
Honkytonk U,Toby Keith,1.0,2005-02-26,12,214920,3.582
Girlfight,Brooke Valentine,1.0,2005-03-05,20,234733,3.9122166666666667
"Sitting, Waiting, Wishing",Jack Johnson,1.0,2005-03-05,19,183720,3.062
U Already Know,112,1.0,2005-03-05,20,198880,3.3146666666666667
Number One Spot,Ludacris,1.0,2005-03-05,16,274466,4.574433333333333
Switch,Will Smith,1.0,2005-03-05,28,196653,3.27755
Across The Universe,Various Artists,1.0,2005-03-05,1,343493,5.7248833333333335
Shut Up,Simple Plan,1.0,2005-03-05,2,182986,3.0497666666666667
Slow Down,Bobby Valentino,1.0,2005-03-05,22,258665,4.311083333333333
In The Kitchen,R. Kelly,3.0,2005-03-05,5,217493,3.6248833333333335
God's Will,Martina McBride,1.0,2005-03-12,8,349333,5.822216666666667
I'm A Hustla,Cassidy,1.0,2005-03-19,19,259933,4.332216666666667
How Could You,Mario,1.0,2005-03-19,17,236000,3.933333333333333
The Widow,The Mars Volta,1.0,2005-03-19,2,350880,5.848
Hold You Down,Jennifer Lopez,1.0,2005-03-19,8,272733,4.54555
How Do You Get That Lonely,Blaine Larsen,1.0,2005-03-19,7,248533,4.142216666666667
Still Tippin',Mike Jones,1.0,2005-03-19,13,271053,4.51755
E-Pro,Beck,1.0,2005-03-26,10,202360,3.3726666666666665
Just A Lil Bit,50 Cent,1.0,2005-03-26,27,237706,3.9617666666666667
Piggy Bank,50 Cent,1.0,2005-03-26,1,255173,4.252883333333333
Drugs Or Jesus,Tim McGraw,1.0,2005-03-26,9,279933,4.66555
Oh,Ciara,1.0,2005-03-26,23,256346,4.272433333333334
Songs About Me,Trace Adkins,1.0,2005-03-26,15,204533,3.4088833333333333
Why Do You Love Me,Garbage,1.0,2005-03-26,1,234226,3.903766666666667
Be Yourself,Audioslave,1.0,2005-03-26,18,278973,4.64955
Again,Faith Evans,1.0,2005-03-26,14,198786,3.3131
Homewrecker,Gretchen Wilson,1.0,2005-03-26,13,205973,3.4328833333333333
Hollaback Girl,Gwen Stefani,1.0,2005-04-02,31,199853,3.3308833333333334
Girl,Destiny's Child,2.0,2005-04-02,19,224146,3.7357666666666667
Cry Baby/Piece Of My Heart,Melissa Etheridge,1.0,2005-04-02,2,308400,5.14
Lot Of Leavin' Left To Do,Dierks Bentley,1.0,2005-04-02,19,272626,4.5437666666666665
Sooner Or Later,Breaking Benjamin,1.0,2005-04-02,2,218800,3.6466666666666665
Bitches Ain't S**t,Ben Folds,1.0,2005-04-02,1,268800,4.48
The Hand That Feeds,Nine Inch Nails,1.0,2005-04-09,20,211680,3.528
La Camisa Negra,Juanes,1.0,2005-04-09,13,216706,3.6117666666666666
Holiday,Green Day,1.0,2005-04-09,32,233026,3.883766666666667
So What The Fuss,Stevie Wonder,1.0,2005-04-09,1,304293,5.07155
Devils & Dust,Bruce Springsteen,1.0,2005-04-16,1,298626,4.9771
So Much More,Fat Joe,1.0,2005-04-16,5,238626,3.9771
We Belong Together,Mariah Carey,1.0,2005-04-16,43,201400,3.3566666666666665
Sometimes You Can't Make It On Your Own,U2,1.0,2005-04-16,3,305080,5.084666666666666
Chariot,Gavin DeGraw,1.0,2005-04-16,20,239173,3.9862166666666665
Grind With Me,Pretty Ricky,1.0,2005-04-16,22,237733,3.9622166666666665
Do Somethin',Britney Spears,1.0,2005-04-16,1,202720,3.3786666666666667
Beverly Hills,Weezer,1.0,2005-04-16,43,196093,3.2682166666666665
B.Y.O.B.,System Of A Down,1.0,2005-04-16,20,255466,4.257766666666667
Making Memories Of Us,Keith Urban,1.0,2005-04-23,20,236000,3.933333333333333
Incomplete,Backstreet Boys,1.0,2005-04-23,20,239586,3.9931
Behind These Hazel Eyes,Kelly Clarkson,1.0,2005-04-23,34,198973,3.3162166666666666
Don't Phunk With My Heart,The Black Eyed Peas,1.0,2005-04-23,26,239773,3.9962166666666668
You'll Be There,George Strait,1.0,2005-04-23,17,257493,4.29155
Hello Tomorrow,Squeak E. Clean,1.0,2005-04-30,1,131080,2.1846666666666668
MJB Da MVP,Mary J. Blige,1.0,2005-04-30,8,201213,3.35355
Under Pressure,The Used And My Chemical Romance,1.0,2005-04-30,3,211733,3.5288833333333334
Happy?,Mudvayne,1.0,2005-04-30,4,216426,3.6071
Free Yourself,Fantasia,1.0,2005-04-30,20,257426,4.2904333333333335
Breathe (2 AM),Anna Nalick,2.0,2005-04-30,34,279826,4.663766666666667
Cater 2 U,Destiny's Child,1.0,2005-04-30,24,245400,4.09
Class Reunion (That Used To Be Us),Lonestar,1.0,2005-04-30,3,272346,4.5391
I'll Take That As A Yes (The Hot Tub Song),Phil Vassar,1.0,2005-04-30,5,206640,3.444
Blue Orchid,The White Stripes,2.0,2005-05-07,7,157560,2.626
When You Tell Me That You Love Me,American Idol Finalists Season 4,1.0,2005-05-07,4,224733,3.74555
La Tortura,Shakira,1.0,2005-05-07,31,212893,3.548216666666667
Fast Cars And Freedom,Rascal Flatts,1.0,2005-05-07,20,262186,4.369766666666667
Don't Cha,The Pussycat Dolls,1.0,2005-05-07,40,272080,4.534666666666666
All Because Of You,Marques Houston,1.0,2005-05-07,10,212026,3.5337666666666667
Give Me That,Webbie,1.0,2005-05-07,20,267520,4.458666666666667
Speed Of Sound,Coldplay,1.0,2005-05-07,20,287906,4.7984333333333336
Trapped In The Closet,R. Kelly,1.0,2005-05-07,16,106693,1.7782166666666666
American Baby,Dave Matthews Band,1.0,2005-05-14,11,275053,4.584216666666666
Best Of You,Foo Fighters,1.0,2005-05-14,21,255626,4.260433333333333
Home,Michael Buble,6.0,2005-05-21,20,225906,3.7651
I Can't Stop Loving You,Kem,2.0,2005-05-21,14,323920,5.398666666666666
Diamonds From Sierra Leone,Kanye West,1.0,2005-05-21,19,233400,3.89
Lose Control,Missy Elliott,1.0,2005-05-21,28,226863,3.78105
She's No You,Jesse McCartney,1.0,2005-05-21,3,213960,3.566
Something More,Sugarland,1.0,2005-05-21,20,216733,3.612216666666667
Untitled (How Can This Happen To Me?),Simple Plan,1.0,2005-05-21,16,239813,3.9968833333333333
Let Me Hold You,Bow Wow,1.0,2005-05-28,24,248493,4.14155
How To Deal,Frankie J,1.0,2005-05-28,19,230506,3.8417666666666666
Errtime,Nelly,1.0,2005-05-28,6,249506,4.158433333333333
Must Be Nice,Lyfe Jennings,2.0,2005-05-28,20,233440,3.8906666666666667
Feel Good Inc,Gorillaz,1.0,2005-05-28,45,222640,3.7106666666666666
If Something Should Happen,Darryl Worley,1.0,2005-05-28,9,279560,4.6593333333333335
Get It Poppin',Fat Joe,1.0,2005-06-04,20,205546,3.4257666666666666
Back Then,Mike Jones,1.0,2005-06-04,20,244186,4.069766666666666
Listen To Your Heart,D.H.T.,1.0,2005-06-04,27,271040,4.517333333333333
Make Her Feel Good,Teairra Mari,1.0,2005-06-04,18,226013,3.7668833333333334
Keg In The Closet,Kenny Chesney,1.0,2005-06-04,10,213493,3.5582166666666666
Pickin' Wildflowers,Keith Anderson,1.0,2005-06-04,12,185920,3.0986666666666665
As Good As I Once Was,Toby Keith,1.0,2005-06-04,20,227840,3.7973333333333334
Dreams,The Game,1.0,2005-06-04,13,286453,4.774216666666667
Pon de Replay,Rihanna,1.0,2005-06-11,27,246960,4.116
Goodbye Time,Blake Shelton,1.0,2005-06-11,9,201733,3.362216666666667
Pimpin' All Over The World,Ludacris,1.0,2005-06-11,20,329626,5.493766666666667
Mississippi Girl,Faith Hill,1.0,2005-06-11,20,232706,3.878433333333333
Don't Ask Me How I Know,Bobby Pinson,1.0,2005-06-11,7,255373,4.256216666666667
ASAP,T.I.,1.0,2005-06-18,8,284413,4.740216666666667
Energy,Natalie,1.0,2005-06-18,8,208773,3.47955
Like You,Daddy Yankee,1.0,2005-06-18,7,202933,3.382216666666667
Ass Like That,Eminem,1.0,2005-06-18,7,265480,4.424666666666667
Summer Nights,Lil Rob,1.0,2005-06-25,14,269160,4.486
Live Like You Were Dying,Tim McGraw,2.0,2005-06-25,23,300333,5.00555
Dem Boyz,Boyz N Da Hood,1.0,2005-06-25,12,256800,4.28
Pump It,The Black Eyed Peas,2.0,2005-06-25,22,213066,3.5511
Right Here,Staind,1.0,2005-06-25,20,253933,4.232216666666667
Touch,Omarion,2.0,2005-06-25,3,201733,3.362216666666667
So Seductive,Tony Yayo,1.0,2005-06-25,15,210293,3.5048833333333334
Don't Worry 'Bout A Thing,SHeDAISY,1.0,2005-07-02,10,215026,3.5837666666666665
These Words,Natasha Bedingfield,1.0,2005-07-02,20,136580,2.2763333333333335
Alcohol,Brad Paisley,1.0,2005-07-02,18,290933,4.848883333333333
Inside Your Heaven,Carrie Underwood,1.0,2005-07-02,12,225280,3.7546666666666666
"Sugar, We're Goin' Down",Fall Out Boy,1.0,2005-07-02,42,229093,3.818216666666667
Play Something Country,Brooks,1.0,2005-07-02,17,228323,3.8053833333333333
Inside Your Heaven,Bo Bice,1.0,2005-07-09,7,252760,4.212666666666666
Helena (So Long & Goodnight),My Chemical Romance,1.0,2005-07-09,16,207000,3.45
Playa's Only,R. Kelly,2.0,2005-07-09,7,232026,3.8671
An Honest Mistake,The Bravery,1.0,2005-07-09,1,219706,3.661766666666667
Go!,Common,1.0,2005-07-09,6,224160,3.736
My Sister,Reba McEntire,1.0,2005-07-09,4,239640,3.994
The Talkin' Song Repair Blues,Alan Jackson,1.0,2005-07-09,2,180373,3.0062166666666665
A Real Fine Place To Start,Sara Evans,1.0,2005-07-09,20,238733,3.9788833333333335
These Boots Are Made For Walkin',Jessica Simpson,1.0,2005-07-16,11,238773,3.97955
Badd,Ying Yang Twins,1.0,2005-07-16,19,225186,3.7531
Help Somebody,Van Zant,1.0,2005-07-16,11,253453,4.224216666666667
Wordplay,Jason Mraz,2.0,2005-07-16,4,186506,3.108433333333333
Do You Want Fries With That,Tim McGraw,1.0,2005-07-16,11,239760,3.996
Tell Me,Bobby Valentino,1.0,2005-07-16,14,260066,4.334433333333333
This Is How A Heart Breaks,Rob Thomas,1.0,2005-07-16,20,230960,3.8493333333333335
Gotta Getcha,Jermaine Dupri,1.0,2005-07-16,11,170933,2.848883333333333
Cool,Gwen Stefani,1.0,2005-07-16,20,189333,3.15555
And Then What,Young Jeezy,1.0,2005-07-23,11,245480,4.091333333333333
Play,David Banner,1.0,2005-07-23,20,230133,3.83555
Notice Me,NB Ridaz,1.0,2005-07-23,2,231200,3.8533333333333335
Sgt. Pepper's Lonely Hearts Club Band,Paul McCartney With U2,1.0,2005-07-23,1,121800,2.03
Outta Control (Remix),50 Cent,1.0,2005-07-23,19,247973,4.132883333333333
Welcome To Jamrock,"Damian ""Jr. Gong"" Marley",1.0,2005-07-30,12,213200,3.5533333333333332
Gold Digger,Kanye West,1.0,2005-07-30,39,207626,3.4604333333333335
Remedy,Seether,2.0,2005-07-30,6,207213,3.45355
Be My Escape,Relient K,1.0,2005-07-30,4,240453,4.00755
Shake It Off,Mariah Carey,1.0,2005-07-30,26,232840,3.8806666666666665
Somebody's Hero,Jamie O'Neal,1.0,2005-07-30,17,221425,3.6904166666666667
Just The Girl,The Click Five,1.0,2005-07-30,20,234146,3.902433333333333
Georgia Rain,Trisha Yearwood,2.0,2005-08-06,9,311360,5.189333333333333
Redneck Yacht Club,Craig Morgan,1.0,2005-08-06,19,230373,3.83955
Wake Me Up When September Ends,Green Day,1.0,2005-08-06,27,285653,4.760883333333333
Your Body,Pretty Ricky,1.0,2005-08-06,20,240040,4.000666666666667
Something To Be Proud Of,Montgomery Gentry,1.0,2005-08-06,20,256600,4.276666666666666
Dirty Little Secret,The All-American Rejects,2.0,2005-08-06,39,193653,3.22755
Charlie Last Name: Wilson,Charlie Wilson,1.0,2005-08-06,14,215866,3.597766666666667
Like You,Bow Wow,1.0,2005-08-06,21,205840,3.4306666666666668
I'm A King,P$C,2.0,2005-08-06,11,212800,3.546666666666667
Gotta Make It,Trey Songz,1.0,2005-08-13,7,247053,4.11755
Don't Lie,The Black Eyed Peas,1.0,2005-08-13,20,219000,3.65
Belly Dancer (Bananza),Akon,1.0,2005-08-13,20,238493,3.9748833333333335
Stay With Me (Brass Bed),Josh Gracin,1.0,2005-08-13,16,251133,4.18555
Hicktown,Jason Aldean,1.0,2005-08-13,13,306026,5.100433333333333
My Humps,The Black Eyed Peas,1.0,2005-08-20,36,326960,5.449333333333334
Seasons Of Love,Cast Of Rent,2.0,2005-08-20,12,183546,3.0591
Axel F,Crazy Frog,1.0,2005-08-20,7,171739,2.8623166666666666
Girl,Beck,1.0,2005-08-20,1,209893,3.4982166666666665
All Jacked Up,Gretchen Wilson,1.0,2005-08-20,11,212520,3.542
I'm Sprung,T-Pain,1.0,2005-08-27,26,231040,3.8506666666666667
All These Things That I've Done,The Killers,1.0,2005-08-27,14,301866,5.0311
Nada Es Para Siempre,Luis Fonsi,1.0,2005-08-27,1,239826,3.9971
Sittin' Sidewayz,Paul Wall,2.0,2005-08-27,5,228933,3.81555
Run It!,Chris Brown,1.0,2005-08-27,38,229866,3.8311
Naked,Marques Houston,1.0,2005-08-27,14,266560,4.442666666666667
Just Want You To Know,Backstreet Boys,1.0,2005-09-03,4,231186,3.8531
Because Of You,Kelly Clarkson,1.0,2005-09-03,37,219493,3.6582166666666667
Best I Ever Had,Gary Allan,2.0,2005-09-03,18,251480,4.191333333333334
Probably Wouldn't Be This Way,LeAnn Rimes,1.0,2005-09-03,14,217946,3.632433333333333
Soul Survivor,Young Jeezy,1.0,2005-09-03,24,280013,4.666883333333334
Wake Up,Hilary Duff,1.0,2005-09-03,6,217666,3.6277666666666666
Shake,Ying Yang Twins,1.0,2005-09-03,20,241586,4.026433333333333
Photograph,Nickelback,1.0,2005-09-10,33,258893,4.314883333333333
Better Life,Keith Urban,1.0,2005-09-10,20,283160,4.719333333333333
Footprints,T.O.K.,1.0,2005-09-10,6,211960,3.5326666666666666
Do You Want To,Franz Ferdinand,2.0,2005-09-10,4,215000,3.5833333333333335
Girl Tonite,Twista,1.0,2005-09-10,20,221373,3.68955
Outta Control,50 Cent,1.0,2005-09-17,1,247973,4.132883333333333
We Be Burnin',Sean Paul,1.0,2005-09-17,28,213066,3.5511
More Than Words,Frankie J,1.0,2005-09-17,18,242200,4.036666666666667
Doesn't Remind Me,Audioslave,1.0,2005-09-17,11,255000,4.25
Stay Fly,Three 6 Mafia,1.0,2005-09-24,23,236600,3.9433333333333334
I Think They Like Me,Dem Franchize Boyz,1.0,2005-09-24,26,282093,4.70155
You're Like Comin' Home,Lonestar,1.0,2005-09-24,11,240560,4.009333333333333
Come A Little Closer,Dierks Bentley,1.0,2005-09-24,20,281973,4.69955
Skin (Sarabeth),Rascal Flatts,2.0,2005-09-24,17,261266,4.354433333333334
If You Were Mine,Marcos Hernandez,1.0,2005-09-24,8,220000,3.6666666666666665
Lighters Up,Lil' Kim,1.0,2005-09-24,13,262640,4.3773333333333335
Boyfriend,Ashlee Simpson,1.0,2005-09-24,20,179426,2.9904333333333333
Stars,Switchfoot,2.0,2005-10-01,5,260413,4.340216666666667
Who Did You Think I Was,John Mayer Trio,1.0,2005-10-01,1,263373,4.38955
Laffy Taffy,D4L,1.0,2005-10-01,26,224253,3.73755
Fix You,Coldplay,3.0,2005-10-01,7,295533,4.92555
I'm Feeling You,Santana,2.0,2005-10-01,8,270973,4.516216666666667
Unbreakable,Alicia Keys,1.0,2005-10-01,19,274000,4.566666666666666
Good Times,Tommy Lee,1.0,2005-10-01,1,186000,3.1
Good Is Good,Sheryl Crow,2.0,2005-10-01,10,257265,4.28775
Shine On,Ryan Cabrera,2.0,2005-10-08,5,185506,3.0917666666666666
Soul Meets Body,Death Cab For Cutie,1.0,2005-10-08,19,229413,3.82355
I Should Have Cheated,Keyshia Cole,1.0,2005-10-08,19,327693,5.46155
Have A Nice Day,Bon Jovi,3.0,2005-10-08,15,229106,3.818433333333333
Who You'd Be Today,Kenny Chesney,1.0,2005-10-08,17,254573,4.242883333333333
